"Lon";"Lat"
-58.6820167330126;-23.6084134130714
-58.6826079239498;-23.6085934313145
-58.682976808384;-23.609732998565
-58.6840204050066;-23.6107413440348
-58.6850880672679;-23.6108456759221
-58.6942030887045;-23.6192289993066
-58.6923385717608;-23.6224285915636
-58.6923440887044;-23.6224309993065
-58.6920900887045;-23.6228549993065
-58.6927850887045;-23.6232019993065
-58.6933840887048;-23.6235009993065
-58.6937390887047;-23.6236789993065
-58.6945050887041;-23.6240309993065
-58.6951410887043;-23.6243239993065
-58.6954870887046;-23.6244849993065
-58.6958160887047;-23.6239089993065
-58.6961300887048;-23.6233359993065
-58.6965290887046;-23.6226049993065
-58.6970670887048;-23.6216939993066
-58.6971670887043;-23.6214869993066
-58.6968850887043;-23.6212279993066
-58.6965800887045;-23.6210289993066
-58.6964336730999;-23.6209282771627
-58.6957944270514;-23.6204412941743
-58.6956780887048;-23.6203439993066
-58.6953250887044;-23.6200729993066
-58.6952700887046;-23.6200279993066
-58.6949800887047;-23.6197939993066
-58.6945000887044;-23.6194089993066
-58.6942030887045;-23.6192289993066
-58.7494840887043;-23.692699999305
-58.7489590887043;-23.693153999305
-58.7482840887048;-23.6937949993049
-58.7477090887047;-23.6943279993049
-58.7473150887047;-23.6947049993049
-58.7470880887044;-23.6949459993049
-58.7468830887042;-23.6952519993049
-58.7467710887041;-23.6955739993049
-58.7467630887043;-23.6957599993049
-58.7468270887046;-23.6960699993049
-58.7470680887049;-23.6963169993049
-58.7474470887043;-23.6965479993049
-58.7476500887042;-23.6968029993049
-58.7477730887042;-23.6971559993049
-58.7477740887048;-23.6974039993049
-58.7477530887046;-23.6975159993049
-58.7477000887043;-23.6980449993048
-58.7474730887049;-23.6984659993048
-58.7472160887041;-23.6987319993048
-58.7470370887045;-23.6989159993048
-58.7473870887047;-23.6991279993048
-58.7483440887043;-23.6996309993048
-58.7485220887042;-23.6997849993048
-58.7491200887047;-23.6988579993048
-58.7493900887042;-23.6984399993048
-58.7496690887041;-23.6980159993049
-58.7502380887047;-23.6971419993049
-58.7512150887047;-23.6956619993049
-58.7516890887047;-23.6949439993049
-58.7519100887046;-23.6946089993049
-58.7523230887045;-23.6939839993049
-58.7516140887045;-23.6936799993049
-58.7511000887045;-23.693463999305
-58.7500250887046;-23.693001999305
-58.7498620887047;-23.692937999305
-58.7497540887046;-23.692937999305
-58.7494840887043;-23.692699999305
-58.7459500887049;-23.6840569993052
-58.7449820887045;-23.6841379993052
-58.7440190887047;-23.6842179993052
-58.7430770887041;-23.6842959993052
-58.7421130887045;-23.6843769993051
-58.7414660887044;-23.6844309993052
-58.7410548335106;-23.6844470988379
-58.7406044112456;-23.6874541352979
-58.7417680887048;-23.6876289993051
-58.7426400887048;-23.6877529993051
-58.7435670887046;-23.6878829993051
-58.7444720887045;-23.6880109993051
-58.7445270887043;-23.6880199993051
-58.7453900887047;-23.6881389993051
-58.7455280887046;-23.6871919993051
-58.7456100887049;-23.6866319993051
-58.7456890887042;-23.6860329993051
-58.7458800887044;-23.6845849993052
-58.7459500887049;-23.6840569993052
-58.7502380887047;-23.6971419993049
-58.7496690887041;-23.6980159993049
-58.7493900887042;-23.6984399993048
-58.7491200887047;-23.6988579993048
-58.7485220887042;-23.6997849993048
-58.7483680887046;-23.7000169993048
-58.7481950887045;-23.7002959993048
-58.7470100887049;-23.7021339993048
-58.7472150887044;-23.7021679993048
-58.7480060887047;-23.7023139993048
-58.7484020887043;-23.7017279993048
-58.7495850887043;-23.7019449993048
-58.7492850887043;-23.7025509993047
-58.7499280887045;-23.7026689993047
-58.7502140887044;-23.7020599993048
-58.7516630887049;-23.7023259993048
-58.7530180887044;-23.7025759993047
-58.7544820887047;-23.7028619993047
-58.7549210887045;-23.7029089993047
-58.7550390887048;-23.7024509993047
-58.7551250887041;-23.7021349993048
-58.7551860887042;-23.7019499993048
-58.7559470887048;-23.6993119993048
-58.7551380887045;-23.6990069993048
-58.7546110887042;-23.6988069993048
-58.7540570887043;-23.6985979993048
-58.7535270887047;-23.6983979993048
-58.7529840887048;-23.6981929993048
-58.7529380887045;-23.6981529993048
-58.7524440887041;-23.6979689993049
-58.7518620887048;-23.6977519993049
-58.7511190887043;-23.6974739993049
-58.7506510887046;-23.6972989993049
-58.7502380887047;-23.6971419993049
-58.7526600887044;-23.693484999305
-58.7523230887045;-23.6939839993049
-58.7519100887046;-23.6946089993049
-58.7516890887047;-23.6949439993049
-58.7512150887047;-23.6956619993049
-58.7502380887047;-23.6971419993049
-58.7506510887046;-23.6972989993049
-58.7511190887043;-23.6974739993049
-58.7518620887048;-23.6977519993049
-58.7524440887041;-23.6979689993049
